TreeID,SpeciesName,DBH,ReplacementValue,CarbonStorage,GrossCarbonSequestration,AvoidedRunoff,PollutionRemoval,TotalAnnualBenefits
1313,Sophora japonica,11,482.32,16.7,1.1,0,8.7,0.24
1314,Sophora japonica,11,482.32,16.7,1.1,0,10.5,0.25
1315,Tilia tomentosa,6,116.95,3.4,0.4,0,8.1,0.13
1316,Tilia tomentosa,6,116.95,3.4,0.4,0,8.1,0.13
1317,Tilia tomentosa,6,116.95,3.4,0.4,0,7.6,0.13
1318,Tilia x europaea,7,160.64,15.4,1.6,0,12.3,0.36
1319,Tilia x europaea,7,160.64,15.4,1.6,0,12.3,0.36
1320,Tilia x europaea,7,160.64,15.4,1.6,0,10.2,0.34
1321,Tilia x europaea,7,160.64,15.4,1.6,0,10.9,0.35
1322,Tilia x europaea,7,160.64,15.4,1.6,0,10.2,0.34
1323,Tilia x europaea,7,160.64,15.4,1.6,0,11.6,0.35
1324,Tilia x europaea,20,910.02,183.2,6.7,0.1,107.2,1.89
1325,Tilia x europaea,12,521.29,54.9,3.4,0,11.1,0.63
1326,Tilia x europaea,35,2162.77,685.5,14.3,0.4,288.5,4.47
1327,Tilia x europaea,35,2162.77,685.5,14.3,0.3,238.8,4.1
1328,Tilia x europaea,35,2162.77,685.5,14.3,0.4,288.5,4.47
1329,Tilia x europaea,13,559.25,66.3,3.8,0.1,103.1,1.38
1330,Tilia x europaea,13,559.25,66.3,3.8,0.1,103.1,1.38
1331,Tilia x europaea,13,559.25,66.3,3.8,0.1,103.1,1.38
1332,Tilia x europaea,13,559.25,66.3,3.8,0.1,91.3,1.29
1333,Tilia x europaea,13,559.25,66.3,3.8,0.1,85.3,1.25
1334,Tilia x europaea,13,559.25,66.3,3.8,0.1,97.2,1.34
1335,Tilia x europaea,13,559.25,66.3,3.8,0.1,85.3,1.25
1336,Tilia x europaea,13,559.25,66.3,3.8,0.1,103.1,1.38
1337,Tilia x europaea,12,521.29,54.9,3.4,0.1,100.2,1.3
1338,Tilia x europaea,12,521.29,54.9,3.4,0.1,82.9,1.17
1339,Tilia x europaea,12,521.29,54.9,3.4,0.1,100.2,1.3
1340,Tilia x europaea,11,486.36,44.7,3,0,19.2,0.63
1341,Tilia x europaea,14,600.25,79,4.2,0,33.5,0.92
1342,Tilia x europaea,25,1251.68,310,9.1,0.1,89.6,2.13
1343,Tilia x europaea,15,644.29,93,4.6,0,23.1,0.91
1344,Tilia x europaea,10,327.83,35.7,2.6,0,24.5,0.61
