Tree ID,Species Name,DBH,Replacement Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits"
,,(cm),(€),(kg),(€),(kg/yr),(€/yr),(m³/yr),(€/yr),(kg/yr),(€/yr),(g/yr),(€/yr),(€/yr),(€/yr)
627,Ostrya carpinifolia,25.00,1132.87,209.20,33.61,6.30,1.01,0.10,0.20,N/A,N/A,85.00,0.44,N/A,1.65
628,Ostrya carpinifolia,18.00,744.35,94.30,15.14,4.00,0.64,0.00,0.07,N/A,N/A,29.10,0.15,N/A,0.86
629,Ostrya carpinifolia,25.00,1132.87,209.20,33.61,6.30,1.01,0.10,0.20,N/A,N/A,85.00,0.44,N/A,1.65
630,Celtis australis,16.00,667.22,19.60,3.14,0.80,0.14,0.10,0.15,N/A,N/A,63.70,0.33,N/A,0.62
631,Celtis australis,16.00,667.22,19.60,3.14,0.80,0.14,0.10,0.20,N/A,N/A,82.70,0.43,N/A,0.76
632,Robinia pseudoacacia,80.00,5671.56,2024.30,325.24,25.50,4.10,0.70,1.42,N/A,N/A,592.50,3.05,N/A,8.57
633,Ostrya carpinifolia,24.00,1069.62,189.50,30.44,6.00,0.96,0.10,0.24,N/A,N/A,99.30,0.51,N/A,1.71
634,Ostrya carpinifolia,18.00,744.35,94.30,15.14,4.00,0.64,0.00,0.07,N/A,N/A,31.30,0.16,N/A,0.87
635,Robinia pseudoacacia,65.00,3942.81,1205.30,193.65,18.60,2.99,0.30,0.58,N/A,N/A,243.50,1.25,N/A,4.82
636,Celtis australis,166.00,22794.92,1075.40,172.78,0.10,0.02,0.20,0.40,N/A,N/A,167.20,0.86,N/A,1.28
637,Celtis australis,14.00,585.59,15.60,2.50,0.80,0.12,0.10,0.12,N/A,N/A,49.80,0.26,N/A,0.50
638,Celtis australis,16.00,667.22,19.60,3.14,0.80,0.14,0.10,0.19,N/A,N/A,79.80,0.41,N/A,0.74
639,Betula pendula,16.00,645.17,56.80,9.12,3.60,0.57,0.00,0.08,N/A,N/A,35.10,0.18,N/A,0.84
640,Betula pendula,28.00,1287.31,225.80,36.28,8.10,1.30,0.20,0.34,N/A,N/A,141.40,0.73,N/A,2.36
641,Betula pendula,18.00,727.87,75.90,12.20,4.20,0.68,0.10,0.12,N/A,N/A,51.00,0.26,N/A,1.07
642,Robinia pseudoacacia,50.00,2484.96,629.10,101.08,12.50,2.01,0.50,0.94,N/A,N/A,391.40,2.01,N/A,4.96
