TreeID,Name,Latitude,Longitude
10558,Liriodendron tulipifera,46.0628162265,11.131082549816
10559,Liriodendron tulipifera,46.062788225308,11.131198871432
10560,Liriodendron tulipifera,46.062765414145,11.131302333987
10561,Liriodendron tulipifera,46.06274424667,11.13140935069
10562,Liriodendron tulipifera,46.062725796741,11.131500956607
10563,Liriodendron tulipifera,46.062695951271,11.131624447298
10564,Cercis siliquastrum,46.0630996893,11.135038261446
10565,Liquidambar styraciflua,46.06267687085,11.131711244898
10566,Liriodendron tulipifera,46.063067581366,11.134964747148
10568,Liquidambar styraciflua,46.063030506178,11.134901772884
10569,Liquidambar styraciflua,46.062967650174,11.134821642678
10570,Liquidambar styraciflua,46.062902481564,11.134715952396
10571,Robinia pseudoacacia,46.062832734953,11.134604784768
10572,Liquidambar styraciflua,46.062782659931,11.134543895688
10573,Liquidambar styraciflua,46.063052645774,11.135190825676
10574,Ilex,46.062981723444,11.135296698179
10575,Ilex,46.064342535842,11.131106136116
10576,Corylus colurna,46.062666445163,11.134352196762
10577,Liquidambar styraciflua,46.062531170033,11.134159376015
10578,Liquidambar styraciflua,46.062460679198,11.134049474105
10579,Liquidambar styraciflua,46.062359957098,11.133890827186
10580,Liquidambar styraciflua,46.062315393447,11.133838426495
10581,Liquidambar styraciflua,46.062279458311,11.133762568461
10582,Liquidambar styraciflua,46.062111972131,11.13352092938
10583,Liquidambar styraciflua,46.070620919333,11.112125253159
10586,Aesculus hippocastanum,46.070666774,11.112312825731
10588,Aesculus hippocastanum,46.070695851853,11.11240497184
10589,Aesculus hippocastanum,46.070712271323,11.112471030915
10590,Aesculus hippocastanum,46.070735807009,11.112556241361
10591,Aesculus hippocastanum,46.070776579261,11.112716852844
10592,Aesculus hippocastanum,46.070799744354,11.112822092903
10593,Aesculus hippocastanum,46.070876908587,11.112625766577
10594,Platanus x hispanica,46.070902332913,11.112711049439
10595,Platanus x hispanica,46.070920542995,11.112836014868
10596,Platanus x hispanica,46.07091831808,11.112956320833
10597,Platanus x hispanica,46.070917759527,11.113088716567
10598,Platanus x hispanica,46.070911128024,11.113165016985
10599,Platanus x hispanica,46.070893025271,11.113248379573
10600,Platanus x hispanica,46.070875390675,11.113321026969
10601,Platanus x hispanica,46.070856742489,11.113409541161
10602,Platanus x hispanica,46.070837977704,11.11347516238
10603,Platanus x hispanica,46.070822642,11.113530569436
10604,Platanus x hispanica,46.070803105611,11.113608704494
10605,Platanus x hispanica,46.071055931961,11.113097612667
10606,Quercus robur,46.062196729983,11.133666935372
10607,Liquidambar styraciflua,46.062014608962,11.133399262323
10608,Liquidambar styraciflua,46.061875813938,11.133081543398
10609,Quercus,46.061823031583,11.132996891982
10610,Quercus,46.060955203953,11.132167676329
10611,Liquidambar styraciflua,46.060798211809,11.132014627833
10612,Liquidambar styraciflua,46.060682179848,11.131808079988
