,Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude
11216,14086,Acer pseudoplatanus,22,953.85,136.4,21.91,4.2,0.68,0.1,0.19,,,81.1,0.42,,1.29,11.3,11,3.3,5,19.6,55.9,3.9,46.1007322683404,11.1088633183382
11217,14087,Acer pseudoplatanus,22,953.85,130.6,20.99,4.1,0.66,0.1,0.1,,,40.8,0.21,,0.97,11,9,2.7,4,12.6,28.1,2,46.1007148666745,11.1088814283381
11218,14088,Acer pseudoplatanus,22,953.85,130.6,20.99,4.1,0.66,0,0.09,,,35.5,0.18,,0.93,11,9,2.7,4,12.6,24.5,1.7,46.1007113916751,11.1088767200051
11219,14089,Acer pseudoplatanus,8,179.43,15,2.42,1.3,0.2,0,0.01,,,5.1,0.03,,0.24,3.4,9,2.7,1,0.8,3.5,0.2,46.1007116300073,11.1088516800051
11220,14090,Acer pseudoplatanus,12,512.32,35.4,5.69,2,0.32,0,0.03,,,12.9,0.07,,0.42,5.3,9,2.7,2,3.1,8.9,0.6,46.1006864783404,11.1088604233381
11221,14091,Acer pseudoplatanus,22,953.85,130.6,20.99,4.1,0.66,0.1,0.1,,,43.4,0.22,,0.99,11,9,2.7,4,12.6,29.9,2.1,46.1006837166748,11.1088914833382
11222,14092,Acer campestre,22,1032.34,139,22.34,3,0.48,0.1,0.19,,,81.1,0.42,,1.09,8,11,3.3,5,19.6,55.9,3.1,46.1006835200075,11.1089002600051
11223,14093,Acer campestre,22,1032.34,139,22.34,3,0.48,0.1,0.19,,,81.1,0.42,,1.09,8,11,3.3,5,19.6,55.9,3.1,46.1007059016748,11.1088957333381
11224,14094,Acer campestre,22,1032.34,139,22.34,3,0.48,0.1,0.19,,,81.1,0.42,,1.09,8,11,3.3,5,19.6,55.9,3.1,46.1007120916745,11.1088707633382
11225,14095,Acer campestre,8,207.91,16.4,2.64,0.9,0.15,0,0.01,,,4.8,0.02,,0.19,2.5,11,3.3,1,0.8,3.3,0.2,46.1006718800074,11.1088725516721
11226,14096,Acer campestre,22,1032.34,139,22.34,3,0.48,0.1,0.19,,,81.1,0.42,,1.09,8,11,3.3,5,19.6,55.9,3.1,46.1006635283405,11.1088990033381
11227,14097,Acer pseudoplatanus,12,512.32,35.4,5.69,2,0.32,0,0.03,,,10.7,0.05,,0.4,5.3,9,2.7,2,3.1,7.4,0.5,46.1006539983404,11.1088869916721
11228,14098,Acer negundo,33,1129.92,262.1,42.11,7.3,1.17,0.2,0.3,,,123.6,0.64,,2.11,19.5,9,2.7,6,28.3,85.2,7.8,46.1006527700082,11.1088597133382
11229,14099,Acer campestre,12,520.73,38.2,6.14,1.5,0.24,0,0.04,,,15,0.08,,0.35,3.9,11,3.3,2,3.1,10.3,0.6,46.1006579400082,11.1089164683382
11230,14100,Acer pseudoplatanus,22,953.85,136.4,21.91,4.2,0.68,0.1,0.12,,,52,0.27,,1.07,11.3,11,3.3,4,12.6,35.8,2.5,46.100641601675,11.1089364400051
11231,14101,Acer saccharinum,35,1384.3,342.2,54.98,7.5,1.21,0.2,0.39,,,162.6,0.84,,2.43,20.1,14,4.2,6,28.3,112.1,5.9,46.1005675150082,11.1089061966721
11232,14102,Acer saccharinum,35,1384.3,342.2,54.98,7.5,1.21,0.2,0.39,,,162.6,0.84,,2.43,20.1,14,4.2,6,28.3,112.1,5.9,46.1005544683404,11.1088575683381
11233,14103,Acer saccharinum,20,704.07,132.7,21.31,4.9,0.78,0,0.05,,,21,0.11,,0.94,13,14,4.2,2,3.1,14.5,0.8,46.1005685450081,11.1088727000051
11234,14104,Acer saccharinum,45,2043.91,523.7,84.15,9.2,1.48,0.2,0.4,,,167.5,0.86,,2.75,24.6,14,4.2,6,28.3,115.5,6.1,46.1005932733405,11.1089191000052
11235,14105,Acer saccharinum,21,737.87,39.1,6.28,1.7,0.28,0,0.02,,,7.9,0.04,,0.34,4.6,3,0.9,2,3.1,5.4,0.3,46.1005305483407,11.1089631466721
11236,14106,Acer saccharinum,35,1384.3,342.2,54.98,7.5,1.21,0.2,0.39,,,162.6,0.84,,2.43,20.1,14,4.2,6,28.3,112.1,5.9,46.1005263466745,11.1089319366721
11237,14107,Acer saccharinum,35,1384.3,342.2,54.98,7.5,1.21,0.2,0.34,,,143.9,0.74,,2.29,20.1,14,4.2,6,28.3,99.2,5.2,46.100521120008,11.1089165133381
11238,14108,Acer campestre,16,689.26,55.7,8.94,1.7,0.28,0,0.05,,,21.1,0.11,,0.44,4.6,3,0.9,3,7.1,14.6,0.8,46.1004819433412,11.1089262250051
11239,14109,Cercis siliquastrum,24,1069.62,95,15.26,3.8,0.61,0.1,0.22,,,91.4,0.47,,1.3,10.2,6,1.8,7,38.5,63,4,46.0991759916743,11.1096492066721
11240,14110,Davidia involucrata,28,1338.11,185.7,29.84,4.9,0.78,0,0.02,,,6.6,0.03,,0.83,13,4,1.2,2,3.1,4.5,0.2,46.0991272850074,11.1096686916721
11241,14111,Taxodium distichum,34,2102.22,202.7,32.56,5.3,0.86,0.1,0.14,,,60,0.31,,1.31,14.3,9,2.7,5,19.6,41.4,2.3,46.0990980083404,11.1097042833382
11242,14112,Davidia involucrata,28,1338.11,185.7,29.84,4.9,0.78,0,0.02,,,8,0.04,,0.84,13,4,1.2,2,3.1,5.5,0.2,46.0990595050078,11.1096889633381
11243,14113,Taxodium distichum,15,624.13,33.1,5.32,2,0.31,0,0.01,,,4.6,0.02,,0.35,5.2,6,1.8,1,0.8,3.1,0.2,46.0991666616751,11.1097250716721
11244,14114,Cercis siliquastrum,24,1069.62,95,15.26,3.8,0.61,0.1,0.2,,,85.1,0.44,,1.26,10.2,6,1.8,7,38.5,58.6,3.8,46.0991534400081,11.1097697166722
11245,14115,Cercis siliquastrum,24,1069.62,95,15.26,3.8,0.61,0.1,0.23,,,97.8,0.5,,1.35,10.2,6,1.8,7,38.5,67.4,4.3,46.0991342733409,11.1097814950051
11246,14116,Morus alba,41,2495.95,340.3,54.67,6.2,1,0.7,1.32,,,549,2.82,,5.14,16.6,6,1.8,12,113.1,378.5,27.7,46.0990802916752,11.1098355400051
11247,14117,Cercis siliquastrum,24,1069.62,95,15.26,3.8,0.61,0.1,0.22,,,91.4,0.47,,1.3,10.2,6,1.8,7,38.5,63,4,46.0991371733405,11.1098561100052
11248,14118,Cercis siliquastrum,24,1069.62,95,15.26,3.8,0.61,0.1,0.26,,,110.5,0.57,,1.45,10.2,6,1.8,7,38.5,76.2,4.9,46.0991609116749,11.1098671466721
11249,14119,Acer saccharinum,27,975.34,122.6,19.7,3.7,0.6,0.1,0.16,,,66,0.34,,1.09,9.9,7,2.1,5,19.6,45.5,2.4,46.0991976000074,11.1098181916721
11250,14120,Parrotia persica,24,1069.62,168.4,27.05,3.7,0.6,0.1,0.13,,,55.1,0.28,,1.01,9.9,4,1.2,5,19.6,38,2,46.0983996216748,11.1113037516722
11251,14121,Acer tataricum,5,81.22,8.6,1.38,0.8,0.14,0,0.01,,,5.8,0.03,,0.18,2.2,4,1.2,2,3.1,4,0.2,46.0950471050075,11.1180217716722
11252,14122,Quercus rubra,5,83.44,3.3,0.52,0.5,0.08,0,0.02,,,6.3,0.03,,0.13,1.4,4,1.2,2,3.1,4.3,0.3,46.0949129483406,11.1179297333383
11253,14123,Quercus ilex,5,89.16,5.8,0.93,0.8,0.13,0,0.02,,,6.8,0.03,,0.19,2.2,4,1.2,2,3.1,4.7,0.5,46.0948882466745,11.1180249066723
11254,14124,Quercus rubra,5,83.44,3.3,0.52,0.5,0.08,0,0.02,,,6.3,0.03,,0.13,1.4,4,1.2,2,3.1,4.3,0.3,46.0948361316744,11.1179210000052
11255,14125,Quercus rubra,5,83.44,3.3,0.52,0.5,0.08,0,0.02,,,6.3,0.03,,0.13,1.4,4,1.2,2,3.1,4.3,0.3,46.0948204333407,11.1180424566723
11256,14126,Quercus rubra,5,83.44,3.3,0.52,0.5,0.08,0,0.02,,,6.7,0.03,,0.13,1.4,4,1.2,2,3.1,4.6,0.4,46.0947432050077,11.1180657733382
11257,14127,Quercus rubra,5,83.44,3.3,0.52,0.5,0.08,0,0.02,,,6.7,0.03,,0.13,1.4,4,1.2,2,3.1,4.6,0.4,46.0947485650076,11.1179467516722
11258,14128,Quercus,5,92.34,12.2,1.97,1.2,0.19,0,0.01,,,6.1,0.03,,0.24,3.2,4,1.2,2,3.1,4.2,0.4,46.0946942000075,11.1181584516723
11259,14129,Tilia x europaea,5,81.96,7,1.12,1.1,0.17,0,0.02,,,7.6,0.04,,0.23,2.8,4,1.2,2,3.1,5.2,0.2,46.0949741533405,11.1178373683382
11260,14130,Tilia x europaea,5,81.96,7,1.12,1.1,0.17,0,0.02,,,7.6,0.04,,0.23,2.8,4,1.2,2,3.1,5.2,0.2,46.0950376050077,11.1178814900052
11261,14131,Tilia x europaea,5,81.96,7,1.12,1.1,0.17,0,0.02,,,7.6,0.04,,0.23,2.8,4,1.2,2,3.1,5.2,0.2,46.095018248341,11.1177777350053
11262,14132,Populus nigra,95,6179.7,3251.4,522.4,32,5.14,1.5,2.8,,,1168.4,6.01,,13.95,85.3,15,4.5,18,254.5,805.5,58.1,46.0950840616748,11.1175985116722
11263,14133,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,5.5,0.03,,0.18,2.4,4,1.2,2,3.1,3.8,0.3,46.0951762250074,11.1176559666722
11264,14134,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,4.6,0.02,,0.18,2.4,4,1.2,2,3.1,3.2,0.2,46.0952035000074,11.1177787250052
11265,14135,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,4.6,0.02,,0.18,2.4,4,1.2,2,3.1,3.2,0.2,46.0952398283412,11.1178937800052
11266,14136,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,5.5,0.03,,0.18,2.4,4,1.2,2,3.1,3.8,0.3,46.0952727983404,11.1180042416722
11267,14137,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,4.3,0.02,,0.17,2.4,4,1.2,2,3.1,2.9,0.2,46.0953134333403,11.1181179166722
11268,14138,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,5.5,0.03,,0.18,2.4,4,1.2,2,3.1,3.8,0.3,46.0953697483407,11.1182129233383
11269,14139,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,5.5,0.03,,0.18,2.4,4,1.2,2,3.1,3.8,0.3,46.0954238600074,11.1183034666722
11270,14140,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,5.2,0.03,,0.18,2.4,4,1.2,2,3.1,3.6,0.2,46.0954803733411,11.1183950866722
11271,14141,Ulmus minor,5,64.43,5.7,0.92,0.9,0.14,0,0.01,,,5.5,0.03,,0.18,2.4,4,1.2,2,3.1,3.8,0.3,46.0955833333405,11.1185317350052
11272,14142,Acer campestre,5,81.22,4.5,0.72,0.4,0.07,0,0.02,,,6.5,0.03,,0.12,1.2,4,1.2,2,3.1,4.5,0.3,46.095199166675,11.1184019050052
11273,14143,Acer campestre,5,81.22,4.5,0.72,0.4,0.07,0,0.02,,,6.5,0.03,,0.12,1.2,4,1.2,2,3.1,4.5,0.3,46.0951129866743,11.1184922250052
11274,14144,Acer x freemanii,5,76.44,8,1.29,1.5,0.25,0,0.01,,,2.9,0.01,,0.27,4.1,3,0.9,1,0.8,2,0.1,46.0559983362518,11.1189656615943
11275,14145,Acer x freemanii,5,76.44,8,1.29,1.5,0.25,0,0.01,,,2.9,0.01,,0.27,4.1,3,0.9,1,0.8,2,0.1,46.0559876506717,11.1189042947223
11276,14146,Acer x freemanii,5,76.44,8,1.29,1.5,0.25,0,0.01,,,2.4,0.01,,0.26,4.1,3,0.9,1,0.8,1.6,0.1,46.0559687419775,11.1188166742593
11277,14147,Prunus,5,53.4,4.7,0.75,0.7,0.12,0,0.01,,,2.8,0.01,,0.14,2,3,0.9,1,0.8,1.9,0.1,46.0560095677736,11.1187673116432
11278,14148,Prunus,5,53.4,4.7,0.75,0.7,0.12,0,0.01,,,2.3,0.01,,0.14,2,3,0.9,1,0.8,1.6,0.1,46.056092781675,11.1187727150052
11279,14149,Prunus,5,53.4,4.7,0.75,0.7,0.12,0,0.01,,,2.1,0.01,,0.13,2,3,0.9,1,0.8,1.5,0.1,46.0561774616749,11.1187028933383
11280,14150,Prunus,5,53.4,4.7,0.75,0.7,0.12,0,0.01,,,2.8,0.01,,0.14,2,3,0.9,1,0.8,1.9,0.1,46.056213736675,11.1187954650053
11281,14151,Acer campestre,5,81.22,4.2,0.67,0.4,0.07,0,0.01,,,2.9,0.01,,0.09,1.1,3,0.9,1,0.8,2,0.1,46.0561219166743,11.1188941033383
11282,14152,Carpinus betulus,5,69.67,7.1,1.14,0.8,0.13,0,0.01,,,3.7,0.02,,0.16,2.1,3,0.9,1,0.8,2.6,0.2,46.0561775000077,11.1189395083382
11283,14153,Carpinus betulus,5,69.67,7.1,1.14,0.8,0.13,0,0.01,,,3.1,0.02,,0.15,2.1,3,0.9,1,0.8,2.1,0.1,46.0561288683404,11.1189478100053
11284,14154,Carpinus betulus,5,69.67,7.1,1.14,0.8,0.13,0,0.01,,,3.1,0.02,,0.15,2.1,3,0.9,1,0.8,2.1,0.1,46.0560414383405,11.1189520783383
11285,14155,Aesculus hippocastanum,35,1846.76,353,56.71,7.7,1.25,0.2,0.29,,,119.6,0.62,,2.15,20.7,6,1.8,6,28.3,82.5,5.8,46.086270263341,11.0632985166716
11286,14156,Ficus carica,17,699.17,73.7,11.85,4.3,0.69,0,0.04,,,16,0.08,,0.81,11.4,4,1.2,3,7.1,11,0.9,46.0864153615967,11.0633901251276
11287,14157,Aesculus hippocastanum,35,1846.76,353,56.71,7.7,1.25,0.2,0.32,,,135.2,0.69,,2.26,20.7,6,1.8,6,28.3,93.2,6.5,46.0861690500077,11.0641469783376
11288,14158,Aesculus hippocastanum,14,574.11,36.8,5.91,2,0.32,0,0.06,,,24.1,0.12,,0.5,5.3,3,0.9,3,7.1,16.6,1.2,46.086217283341,11.0640590816717
11289,14159,Aesculus hippocastanum,30,1444.81,242.6,38.97,6.2,0.99,0.2,0.29,,,120.7,0.62,,1.9,16.5,6,1.8,6,28.3,83.2,5.8,46.0862455833408,11.0639847300046
11290,14160,Aesculus hippocastanum,14,574.11,36.8,5.91,2,0.32,0,0.05,,,19.9,0.1,,0.47,5.3,3,0.9,3,7.1,13.8,1,46.0863033550079,11.0639000466717
11291,14161,Aesculus hippocastanum,21,877.12,99.4,15.97,3.6,0.58,0,0.04,,,18,0.09,,0.72,9.6,4,1.2,3,7.1,12.4,0.9,46.0863568933409,11.0638183733376
11292,14162,Aesculus hippocastanum,14,574.11,36.8,5.91,2,0.32,0,0.06,,,24.1,0.12,,0.5,5.3,3,0.9,3,7.1,16.6,1.2,46.0863982850073,11.0637406650046
11293,14163,Sophora japonica,18,744.35,51.4,8.26,2.1,0.33,0,0.04,,,14.9,0.08,,0.45,5.5,3,0.9,3,7.1,10.2,1.2,46.0866511800081,11.0636002450046
11294,14164,Platanus x hispanica,140,19195.91,7500,1205,0.7,0.11,1.1,2.13,,,887.5,4.56,,6.8,1.8,21,6.3,12,113.1,611.8,28.1,46.0863621533405,11.0637553800046
11295,14165,Picea abies,56,4636.25,886.6,142.44,7.3,1.18,0.4,0.78,,,324.9,1.67,,3.63,19.6,16,4.8,8,50.3,224,37.3,46.0816077616751,11.0466181633375
11296,14166,Picea abies,38,2290.01,373.7,60.05,4.6,0.74,0.1,0.21,,,88.3,0.45,,1.41,12.3,12,3.6,5,19.6,60.9,10.1,46.0815670033407,11.0465906000044
11297,14167,Picea abies,48,3482.54,629.6,101.16,6.1,0.98,0.3,0.49,,,206.5,1.06,,2.54,16.3,16,4.8,6,28.3,142.3,23.7,46.0815639666745,11.0466369383374
11298,14168,Picea abies,48,3482.54,629.6,101.16,6.1,0.98,0.3,0.49,,,206.5,1.06,,2.54,16.3,16,4.8,6,28.3,142.3,23.7,46.0815629100078,11.0466766633374
11299,14169,Picea abies,48,3482.54,629.6,101.16,6.1,0.98,0.3,0.49,,,206.5,1.06,,2.54,16.3,16,4.8,6,28.3,142.3,23.7,46.0815614416747,11.0467231966715
11300,14170,Acer pseudoplatanus,58,4693.87,1207.5,194.01,14.6,2.35,0.6,1.13,,,471.7,2.43,,5.91,39,15,4.5,9,63.6,325.2,22.7,46.0815910783406,11.0468507616715
11301,14171,Picea abies,48,3482.54,627,100.73,6.1,0.98,0.2,0.38,,,159.7,0.82,,2.19,16.3,18,5.4,5,19.6,110.1,18.3,46.0816223833403,11.0468747216714
11302,14172,Picea abies,60,5279.67,1050.7,168.81,8,1.28,0.9,1.69,,,703.9,3.62,,6.59,21.2,16,4.8,12,113.1,485.3,80.9,46.0816959800076,11.0468612333374
11303,14173,Aesculus hippocastanum,60.5,4855.63,1376.1,221.09,17.7,2.84,0.8,1.55,,,647.4,3.33,,7.72,47.1,8,2.4,12,113.1,446.3,31.2,46.0783349900082,11.0450814916714
11304,14174,Aesculus hippocastanum,92,10324.36,3992.6,641.48,18.9,3.03,1,2,,,832.9,4.28,,9.31,50.4,15,4.5,12,113.1,574.2,40.2,46.0784243666747,11.0453756333374
11305,14175,Aesculus hippocastanum,47,3063.75,751.6,120.76,12.3,1.97,0.6,1.11,,,461.5,2.37,,5.45,32.7,10,3,9,63.6,318.1,22.2,46.0784070916752,11.0454055300045
11306,14176,Aesculus hippocastanum,70,6391.92,2043.6,328.33,22.5,3.61,0.9,1.63,,,682,3.51,,8.75,59.9,14,4.2,11,95,470.1,32.9,46.0783302166746,11.0454654950044
11307,14177,Cupressus arizonica,72,7047.3,3745,601.69,21.7,3.49,0.2,0.46,,,190.7,0.98,,4.93,57.9,13,3.9,6,28.3,131.5,30.8,46.0782921716743,11.0455622916714
11308,14178,Prunus,17,643.18,92.2,14.82,4.1,0.66,0,0.08,,,34.7,0.18,,0.92,11,3,0.9,4,12.6,23.9,1.9,46.0781678166749,11.0455241200045
11309,14179,Prunus,17,643.18,92.2,14.82,4.1,0.66,0,0.07,,,30.5,0.16,,0.89,11,3,0.9,4,12.6,21,1.6,46.0780907300077,11.0455764666714
11310,14180,Prunus,17,643.18,92.2,14.82,4.1,0.66,0,0.09,,,36.9,0.19,,0.94,11,3,0.9,4,12.6,25.4,2,46.0780395533412,11.0456096833375
11311,14181,Prunus,17,643.18,92.2,14.82,4.1,0.66,0,0.08,,,34.7,0.18,,0.92,11,3,0.9,4,12.6,23.9,1.9,46.0779761250077,11.0456578166714
11312,14182,Cupressus arizonica,60,4984.52,2602.3,418.11,26.7,4.29,0.2,0.45,,,189.8,0.98,,5.72,71.2,13,3.9,6,28.3,130.8,30.7,46.0781157733407,11.0451969800044
11313,14183,Cercis siliquastrum,17,699.17,42.2,6.78,2.4,0.38,0,0.06,,,24.1,0.12,,0.56,6.3,3,0.9,4,12.6,16.6,1.1,46.0779746433405,11.0453788250044
11314,14184,Cercis siliquastrum,17,699.17,42.2,6.78,2.4,0.38,0,0.07,,,27.4,0.14,,0.58,6.3,3,0.9,4,12.6,18.9,1.2,46.0779034550081,11.0454571850044
11315,14185,Morus alba,17,699.17,40.6,6.52,1.8,0.29,0,0.08,,,34.7,0.18,,0.55,4.8,3,0.9,4,12.6,23.9,1.7,46.0777444350078,11.0452287516714
11316,14186,Morus alba,35,1907.35,232.2,37.3,5,0.8,0.1,0.24,,,102.2,0.53,,1.57,13.2,6,1.8,6,28.3,70.4,5.2,46.0777578400081,11.0451881533374
11317,14187,Morus alba,35,1907.35,232.2,37.3,5,0.8,0.1,0.24,,,102.2,0.53,,1.57,13.2,6,1.8,6,28.3,70.4,5.2,46.0776940971563,11.0451116161665
11318,14188,Prunus avium,28,1132.95,260.9,41.92,7,1.13,0,0.07,,,28.6,0.15,,1.35,18.8,3,0.9,4,12.6,19.7,1.5,46.0779275433405,11.0451651500044
11319,14189,Cupressus sempervirens,27,1245.72,230.1,36.97,5.3,0.85,0,0.02,,,6.5,0.03,,0.89,14,12,3.6,1,0.8,4.5,1,46.0780088066748,11.0451625250045
11320,14190,Prunus avium,28,1132.95,260.9,41.92,7,1.13,0,0.08,,,32.8,0.17,,1.38,18.8,3,0.9,4,12.6,22.6,1.8,46.0779276350078,11.0450998966714
11321,14191,Prunus avium,40,1940.31,621.9,99.92,5.2,0.84,0.1,0.1,,,42.1,0.22,,1.15,13.9,3,0.9,4,12.6,29,2.2,46.077944011675,11.0450188816714
11322,14192,Prunus avium,40,1940.31,621.9,99.92,5.2,0.84,0,0.08,,,32.4,0.17,,1.08,13.9,3,0.9,4,12.6,22.3,1.7,46.0779764433407,11.0449420700044
11323,14193,Prunus avium,40,1940.31,621.9,99.92,5.2,0.84,0,0.1,,,39.6,0.2,,1.13,13.9,3,0.9,4,12.6,27.3,2.1,46.0780193471118,11.0448627213924
11324,14194,Prunus avium,27,1078.53,238.8,38.37,6.7,1.07,0,0.07,,,30.3,0.16,,1.3,17.8,3,0.9,4,12.6,20.9,1.6,46.0780660650076,11.0448266500044
11325,14195,Prunus avium,35,1569.28,449.3,72.18,7.1,1.14,0.1,0.1,,,40.1,0.21,,1.45,19,3,0.9,4,12.6,27.7,2.1,46.0781409066745,11.0447892666713
11326,14196,Prunus avium,35,1569.28,449.3,72.18,7.1,1.14,0.1,0.1,,,40.1,0.21,,1.45,19,3,0.9,4,12.6,27.7,2.1,46.0781893200081,11.0448257233375
11327,14197,Picea abies,24,1086.38,135,21.7,2.6,0.42,0,0.05,,,21.3,0.11,,0.58,7,6,1.8,3,7.1,14.7,2.4,46.0779477426306,11.0445843024834
