,Tree ID,Species Name,Oxygen Production
,,,(kg/yr)
,1209,Celtis australis,2.60
,1210,Celtis australis,2.20
,1211,Cupressus sempervirens,7.70
,1212,Cupressus sempervirens,7.70
,1213,Cupressus sempervirens,5.10
,1214,Cupressus sempervirens,10.30
,1215,Diospyros kaki,13.60
,1217,Fraxinus,4.10
,1218,Fraxinus,6.30
,1219,Fraxinus ornus,2.60
,1220,Fraxinus americana,9.90
,1221,Fraxinus americana,2.90
,1222,Fraxinus americana,1.50
,1223,Fraxinus americana,3.90
,1224,Fraxinus americana,3.90
,1225,Fraxinus americana,1.50
,1226,Fraxinus americana,9.90
,1227,Fraxinus americana,9.90
,1228,Fraxinus americana,6.70
,1229,Fraxinus americana,9.90
,1230,Fraxinus americana,3.90
,1231,Fraxinus americana,3.90
,1232,Fraxinus americana,9.90
,1233,Fraxinus americana,3.90
,1234,Fraxinus americana,9.90
,1235,Fraxinus americana,9.90
,1236,Fraxinus americana,9.90
,1237,Fraxinus americana,3.90
,1238,Fraxinus americana,9.90
,1239,Fraxinus americana,3.90
,1240,Fraxinus ornus,7.30
,1241,Fraxinus excelsior,10.00
,1242,Fraxinus excelsior,2.70
,1243,Fraxinus excelsior,2.70
,1244,Fraxinus excelsior,2.70
,1245,Fraxinus excelsior,2.70
,1246,Fraxinus excelsior,2.70
,1247,Fraxinus excelsior,2.70
,1248,Malus sylvestris,18.90
,1249,Malus sylvestris,10.60
,1250,Morus nigra,1.40
,1251,Morus nigra,1.40
,1252,Morus nigra,1.40
,1253,Morus nigra,1.40
,1254,Morus nigra,4.10
,1255,Populus nigra,7.80
,1256,Populus nigra,12.70
,1257,Populus nigra,12.70
,1258,Populus nigra,9.10
,1259,Populus nigra,9.10
,1260,Populus nigra,9.10
,1261,Populus nigra,9.10
,1262,Populus nigra,9.10
,1263,Populus nigra,9.10
,1264,Populus nigra,16.60
,1265,Populus nigra,9.10
,1266,Prunus domestica,9.20
,1267,Prunus,9.20
,1268,Prunus,5.20
,1269,Prunus avium,7.00
,1270,Prunus avium,5.60
,1271,Prunus avium,3.20
,1272,Prunus avium,3.20
,1273,Prunus avium,20.70
,1274,Prunus domestica,13.80
,1275,Prunus avium,2.60
,1276,Prunus avium,2.60
,1277,Prunus avium,11.60
,1278,Prunus avium,16.00
,1279,Prunus avium,4.30
,1280,Prunus avium,2.60
,1281,Prunus avium,11.60
,1282,Prunus avium,4.30
,1283,Prunus avium,4.30
,1284,Prunus domestica,5.20
,1285,Prunus avium,2.60
,1286,Prunus avium,2.60
,1287,Prunus avium,2.60
,1288,Prunus domestica,5.20
,1289,Prunus avium,7.70
,1290,Prunus avium,11.60
,1291,Prunus avium,11.60
,1292,Quercus robur,6.10
,1293,Quercus robur,16.70
,1294,Robinia pseudoacacia,5.90
,1295,Robinia pseudoacacia,5.90
,1296,Robinia pseudoacacia,5.90
,1297,Robinia pseudoacacia,8.80
,1298,Robinia pseudoacacia,5.90
,1299,Robinia pseudoacacia,8.80
,1300,Robinia pseudoacacia,8.80
,1301,Robinia pseudoacacia,33.40
,1302,Sophora japonica,1.30
,1303,Sophora japonica,3.50
,1304,Sophora japonica,3.20
,1305,Sophora japonica,3.50
,1306,Sophora japonica,3.50
,1307,Sophora japonica,3.50
,1308,Sophora japonica,3.50
,1309,Sophora japonica,3.50
,1310,Sophora japonica,4.70
,1311,Sophora japonica,4.70
,1312,Sophora japonica,2.80
,1313,Sophora japonica,2.80
,1314,Sophora japonica,2.80
,1315,Tilia tomentosa,1.10
,1316,Tilia tomentosa,1.10
,1317,Tilia tomentosa,1.10
,1318,Tilia x europaea,4.40
,1319,Tilia x europaea,4.40
,1320,Tilia x europaea,4.40
,1321,Tilia x europaea,4.40
,1322,Tilia x europaea,4.40
,1323,Tilia x europaea,4.40
,1324,Tilia x europaea,17.90
,1325,Tilia x europaea,9.00
,1326,Tilia x europaea,38.20
,1327,Tilia x europaea,38.20
,1328,Tilia x europaea,38.20
,1329,Tilia x europaea,10.00
,1330,Tilia x europaea,10.00
,1331,Tilia x europaea,10.00
,1332,Tilia x europaea,10.00
,1333,Tilia x europaea,10.00
,1334,Tilia x europaea,10.00
,1335,Tilia x europaea,10.00
,1336,Tilia x europaea,10.00
,1337,Tilia x europaea,9.00
,1338,Tilia x europaea,9.00
,1339,Tilia x europaea,9.00
,1340,Tilia x europaea,8.00
,1341,Tilia x europaea,11.10
,1342,Tilia x europaea,24.20
,1343,Tilia x europaea,12.20
,1344,Tilia x europaea,7.10
,1345,Ulmus,25.30
,1346,Pyrus communis,14.30
,1347,Pyrus communis,17.10
,1348,Pyrus communis,14.30
,1366,Celtis australis,3.00
,1367,Betula pendula,27.40
,1368,Betula pendula,22.70
,1372,Magnolia x soulangeana,4.00
,1373,Parrotia persica,2.40
,1374,Parrotia persica,2.40
,1375,Parrotia persica,2.40
,1397,Carpinus betulus,4.00
,1398,Carpinus betulus,4.00
,1399,Carpinus betulus,4.50
,1400,Carpinus betulus,4.50
,1401,Carpinus betulus,4.50
,1402,Tilia cordata,1.50
,1403,Tilia cordata,1.50
,1404,Tilia cordata,4.20
,1406,Platanus x hispanica,18.80
,1407,Carpinus betulus,4.00
,1408,Carpinus betulus,5.60
,1409,Carpinus betulus,4.00
,1410,Tilia cordata,3.80
,1411,Tilia cordata,2.20
,1412,Tilia cordata,5.60
,1413,Tilia cordata,2.60
,1414,Tilia cordata,6.50
,1415,Tilia cordata,2.20
,1416,Tilia cordata,2.20
,1417,Tilia cordata,2.20
,1418,Tilia cordata,4.20
,1419,Tilia cordata,5.10
,1420,Tilia cordata,4.20
,1421,Tilia cordata,1.80
,1422,Tilia cordata,3.80
,1423,Tilia cordata,2.20
,1424,Tilia cordata,6.50
,1425,Tilia cordata,1.80
,1426,Tilia cordata,7.00
,1427,Tilia cordata,1.80
,1428,Tilia cordata,1.80
,1429,Tilia cordata,2.60
,1430,Tilia cordata,3.40
,1431,Tilia cordata,4.70
,1432,Tilia cordata,1.50
,1433,Tilia cordata,1.80
,1434,Tilia cordata,1.80
,1435,Tilia cordata,4.20
,1436,Tilia cordata,5.10
,1437,Tilia cordata,1.50
,1438,Tilia cordata,1.50
,1439,Tilia cordata,1.50
,1440,Tilia cordata,1.20
,1441,Tilia cordata,1.20
,1442,Tilia cordata,6.00
,1443,Tilia cordata,2.20
,1444,Tilia cordata,5.60
,1445,Tilia platyphyllos,4.70
,1446,Tilia platyphyllos,4.70
,1447,Tilia platyphyllos,4.70
,1448,Tilia platyphyllos,5.60
,1449,Tilia platyphyllos,5.60
,1450,Tilia platyphyllos,2.20
,1451,Tilia platyphyllos,5.10
,1452,Tilia platyphyllos,3.80
,1453,Prunus serrulata,13.80
,1454,Platanus x hispanica,4.10
,1455,Platanus x hispanica,4.10
,1456,Platanus x hispanica,5.20
,1457,Platanus x hispanica,5.90
,1458,Platanus x hispanica,4.60
,1459,Platanus x hispanica,4.60
,1462,Acer pseudoplatanus,0.90
,1463,Acer pseudoplatanus,19.00
,1464,Acer pseudoplatanus,9.40
,1465,Acer pseudoplatanus,15.90
,1468,Cupressus sempervirens,5.10
,1469,Cupressus sempervirens,6.10
,1470,Cupressus sempervirens,6.10
,1471,Fraxinus excelsior,2.80
,1472,Fraxinus excelsior,1.40
,1473,Fraxinus excelsior,5.40
,1474,Fraxinus ornus,2.60
,1489,Acer pseudoplatanus,19.00
,1490,Acer pseudoplatanus,10.60
,1491,Acer pseudoplatanus,13.00
,1492,Acer pseudoplatanus,13.40
,1493,Acer pseudoplatanus,12.60
,1494,Carpinus betulus,3.00
